id,created_at,text
875479044552138752,2017-06-15 22:24:04,b'RT @Krystan_Brooks: Come play with all the Katy cats and WITNESS surprise merch at the @katyperry pop up store \xf0\x9f\x98\xbb\xf0\x9f\x98\xbb #KPWWW https://t.co/FN97d\xe2\x80\xa6'
875478979917959168,2017-06-15 22:23:49,"b""RT @hrhjesus: We couldn't wait to #witness @KatyPerry on tour so we had to come get a little preview at #KPWWW HQ \xf0\x9f\x91\x81\xf0\x9f\x92\x95 https://t.co/MiAf1cwZn0"""
875472498422300672,2017-06-15 21:58:03,"b""RT @KatycatTeagan: @katyperry I'm living for this merch \xf0\x9f\x98\x8d will it be available at #Witness tour? #KPWWW https://t.co/uuiiPzvVQr"""
875464471308664832,2017-06-15 21:26:09,b'RT @katysintimacy: WIG #KPWWW https://t.co/LfznJrJJdI'
875459684441792513,2017-06-15 21:07:08,b'Listen to #WITNESS on @AppleMusic! https://t.co/PENvyzrkP1 -TeamKP https://t.co/jnA7iVvj2f'
875448768241451008,2017-06-15 20:23:46,b'RT @yittledez: Drove 226 miles. IM HERE. \xf0\x9f\x98\x8d @katyperry #KatyPerry #KatyCats #WITNESS #KPWWW @AwkwardAya @CapitolRecords https://t.co/YPoSL3N\xe2\x80\xa6'
875448424169996288,2017-06-15 20:22:24,"b""RT @deIreyperry: I'M HERE #KPWWW #Witness @katyperry https://t.co/OfDg1BtbUN"""
875448348739686401,2017-06-15 20:22:06,b'RT @alechuerta: .@katyperry I had to bling out my Bon App\xc3\xa9tit hat with my new pins from the pop up! #KPWWW https://t.co/6x7TOv4BwN'
875448243596820481,2017-06-15 20:21:40,b'RT @deIreyperry: I wanna move here!!!#KPWWW #Witness @katyperry https://t.co/ld6jzxup6V'
875448134054195200,2017-06-15 20:21:14,b'RT @almostanart: @AwkwardAya thanks for being so nice and talking to me!! #KPWWW @katyperry https://t.co/I8cv7Hw3RU'
875448007373733889,2017-06-15 20:20:44,b'RT @carlythekatycat: SOY GLAM @katyperry #KPWWW https://t.co/u2gpGSwg8r'
875447891795468288,2017-06-15 20:20:17,b'RT @x_lauren4_x: Had so much fun #KPWWW ... Thank You @AwkwardAya for taking a pic with me... \xf0\x9f\x98\x98\xf0\x9f\x92\x96 @katyperry https://t.co/6Br8Yjre03'
875421616418594816,2017-06-15 18:35:52,"b""Couldn't have done it without all of the fantastic ppl that came over to help start conversations... I am grateful\xe2\x80\xa6 https://t.co/S7BrNg89My"""
875419917763305473,2017-06-15 18:29:07,"b'Visit the pop-up store and see #KPWWW HQ @kimsingtheatre (718 N Figueroa St, Los Angeles, CA 90012) today &amp; tomorro\xe2\x80\xa6 https://t.co/Dxjqx7xPaM'"
875385976062754816,2017-06-15 16:14:15,b'AS SEEN ON #KPWWW: your chance to #WitnessTheTour up close and personal by supporting the @LynchFoundation\xe2\x80\xa6 https://t.co/n9MdS6zuCf'
